show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,7,6,Brazil (the Amazon),Belém,Brazil,NA,"-1.455729,-48.490179",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-1.455729,-48.490179,"Season 7 | Ep. 6 | Belém, Brazil",Brazil
No Reservations,7,7,Boston,Boston,Massachusetts,NA,"42.360082,-71.058880",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,42.360082,-71.05888,"Season 7 | Ep. 7 | Boston, Massachusetts",USA
No Reservations,7,8,Japan: Hokkaido,Sapporo,Japan,NA,"43.062096,141.354376",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,43.062096,141.354376,"Season 7 | Ep. 8 | Sapporo, Japan",Japan
No Reservations,7,9,Cuba,Havana,Cuba,NA,"23.113592,-82.366596",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,23.113592,-82.366596,"Season 7 | Ep. 9 | Havana, Cuba",Cuba
No Reservations,7,10,Macau,Macau,China,NA,"22.198745,113.543873",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,22.198745,113.543873,"Season 7 | Ep. 10 | Macau, China",China
No Reservations,7,11,Naples,Naples,Italy,NA,"40.851775,14.268124",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.851775,14.268124,"Season 7 | Ep. 11 | Naples, Italy",Italy
No Reservations,7,12,El Bulli,"Roses, Catalonia",Spain,NA,"42.260520,3.208099",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,42.26052,3.208099,"Season 7 | Ep. 12 | Roses, Catalonia, Spain",Spain
No Reservations,7,13,US Desert,Pioneertown,California,NA,"34.156442,-116.498645",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,34.156442,-116.498645,"Season 7 | Ep. 13 | Pioneertown, California",USA
No Reservations,7,13,US Desert,Joshua Tree,California,NA,"34.134728,-116.313066",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,34.134728,-116.313066,"Season 7 | Ep. 13 | Joshua Tree, California",USA
No Reservations,7,13,US Desert,Rancho Mirage,California,NA,"33.739744,-116.412790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,33.739744,-116.41279,"Season 7 | Ep. 13 | Rancho Mirage, California",USA
No Reservations,7,13,US Desert,Coachella,California,NA,"33.680300,-116.173894",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,33.6803,-116.173894,"Season 7 | Ep. 13 | Coachella, California",USA
No Reservations,7,14,Ukraine,Crimea,Ukraine,NA,"44.952117,34.102417",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,44.952117,34.102417,"Season 7 | Ep. 14 | Crimea, Ukraine",Ukraine
No Reservations,7,14,Ukraine,Chernobyl,Ukraine,NA,"51.276303,30.221899",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,51.276303,30.221899,"Season 7 | Ep. 14 | Chernobyl, Ukraine",Ukraine
No Reservations,7,15,Kurdistan,Iraqi Kurdistan,Iraq,NA,"36.410339,44.387195",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,36.410339,44.387195,"Season 7 | Ep. 15 | Iraqi Kurdistan, Iraq",Iraq
No Reservations,7,15,Kurdistan,Turkish Kurdistan,Turkey,NA,"38.963745,35.243322",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,38.963745,35.243322,"Season 7 | Ep. 15 | Turkish Kurdistan, Turkey",Turkey
No Reservations,7,16,Cajun Country,New Orleans,United States,Louisiana,"29.951066,-90.071532",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,29.951066,-90.071532,"Season 7 | Ep. 16 | New Orleans, United States",USA
No Reservations,7,16,Cajun Country,Breaux Bridge,United States,Louisiana,"30.273532,-91.899284",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,30.273532,-91.899284,"Season 7 | Ep. 16 | Breaux Bridge, United States",USA
No Reservations,7,16,Cajun Country,Metairie,United States,Louisiana,"29.984092,-90.152852",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,29.984092,-90.152852,"Season 7 | Ep. 16 | Metairie, United States",USA
No Reservations,7,17,Holiday Special 2011,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 7 | Ep. 17 | New York City, USA",USA
No Reservations,8,1,Mozambique,Beira,Mozambique,NA,"-19.831595,34.837018",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-19.831595,34.837018,"Season 8 | Ep. 1 | Beira, Mozambique",Mozambique
No Reservations,8,1,Mozambique,Mozambique Island,Mozambique,NA,"-15.036449,40.732331",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-15.036449,40.732331,"Season 8 | Ep. 1 | Mozambique Island, Mozambique",Mozambique
No Reservations,8,1,Mozambique,Maputo,Mozambique,NA,"-25.969248,32.573175",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-25.969248,32.573175,"Season 8 | Ep. 1 | Maputo, Mozambique",Mozambique
